Tratamentor;Membrana;CA;Tempo
Untreated;CNF;66.9;30
Untreated;CNF;67.9;25
Untreated;CNF;70.0;20
Untreated;CNF;71.7;15
Untreated;CNF;73.2;10
Untreated;CNF;75.0;5
Untreated;CNF;83.7;10
Untreated;CNF;84.4;5
Untreated;CNF;84.7;15
Untreated;CNF;84.9;20
Untreated;CNF;85.7;30
Untreated;CNF;85.7;25
Untreated;CNF;91.8;5
Untreated;CNF;91.9;15
Untreated;CNF;92.1;10
Untreated;CNF;93.8;20
Untreated;CNF;94.3;25
Untreated;CNF;95.2;30
Untreated;CNF;83.4;5
Untreated;CNF;84.9;15
Untreated;CNF;85.8;15
Untreated;CNF;87.9;20
Untreated;CNF;87.3;25
Untreated;CNF;88.3;30
Untreated;T5;32.1;5
Untreated;T5;32.1;10
Untreated;T5;33.2;15
Untreated;T5;35.3;20
Untreated;T5;36.9;25
Untreated;T5;38.4;30
Untreated;T5;33.9;5
Untreated;T5;35.2;10
Untreated;T5;36.5;15
Untreated;T5;37.3;20
Untreated;T5;38.6;25
Untreated;T5;38.9;30
Untreated;T5;33.3;5
Untreated;T5;33.4;10
Untreated;T5;31.8;15
Untreated;T5;33.3;20
Untreated;T5;33.5;25
Untreated;T5;33.9;30
Untreated;T10;28.8;5
Untreated;T10;29.0;10
Untreated;T10;28.9;15
Untreated;T10;28.3;20
Untreated;T10;28.7;25
Untreated;T10;29.2;30
Untreated;T10;26.9;5
Untreated;T10;25.3;10
Untreated;T10;24.0;15
Untreated;T10;23.9;20
Untreated;T10;23.9;25
Untreated;T10;25.2;30
Untreated;T10;30.8;5
Untreated;T10;30.3;10
Untreated;T10;30.8;15
Untreated;T10;31.8;20
Untreated;T10;32.7;25
Untreated;T10;34.0;30
Untreated;T10;30.2;5
Untreated;T10;29.8;10
Untreated;T10;29.4;15
Untreated;T10;29.1;20
Untreated;T10;29.3;25
Untreated;T10;29.7;30
Treated;CNF;11.5;5
Treated;CNF;11.0;10
Treated;CNF;11.0;15
Treated;CNF;12.6;20
Treated;CNF;12.5;25
Treated;CNF;6.3;30
Treated;T5;42.9;5
Treated;T5;42.4;10
Treated;T5;42.0;15
Treated;T5;41.6;20
Treated;T5;41.2;25
Treated;T5;40.9;30
Treated;T5;40.8;5
Treated;T5;40.4;10
Treated;T5;40.1;15
Treated;T5;39.3;20
Treated;T5;39.0;25
Treated;T5;38.9;30
Treated;T5;31.6;5
Treated;T5;30.3;10
Treated;T5;29.2;15
Treated;T5;29.2;20
Treated;T5;29.1;25
Treated;T5;28.9;30
Treated;T5;14.1;5
Treated;T5;13.1;10
Treated;T5;12.8;15
Treated;T5;12.4;20
Treated;T5;12.1;25
Treated;T5;12.4;30
Treated;T5;10.3;5
Treated;T5;10.7;10
Treated;T5;9.0;15
Treated;T5;8.2;20
Treated;T5;9.4;25
Treated;T5;0.7;30
Treated;T5;33.4;5
Treated;T5;31.7;10
Treated;T5;31.7;15
Treated;T5;31.7;20
Treated;T5;31.5;25
Treated;T5;31.1;25
Treated;T10;67.3;5
Treated;T10;67.4;10
Treated;T10;67.3;15
Treated;T10;67.3;20
Treated;T10;67.0;25
Treated;T10;66.6;30
Treated;T10;51.4;5
Treated;T10;50.6;10
Treated;T10;50.1;15
Treated;T10;50.0;20
Treated;T10;50.0;25
Treated;T10;49.9;30
Treated;T10;52.7;5
Treated;T10;52.5;10
Treated;T10;52.2;15
Treated;T10;51.8;20
Treated;T10;51.7;25
Treated;T10;51.3;30
Treated;T10;49.9;5
Treated;T10;49.8;10
Treated;T10;49.1;15
Treated;T10;49.1;20
Treated;T10;48.9;25
Treated;T10;48.1;30
Treated;T10;45.1;5
Treated;T10;44.9;10
Treated;T10;44.8;15
Treated;T10;44.5;20
Treated;T10;44.2;25
Treated;T10;43.9;30
Treated;T10;67.8;5
Treated;T10;65.5;10
Treated;T10;64.8;15
Treated;T10;64.6;20
Treated;T10;64.6;25
Treated;T10;64.4;30
;;;
;;;
;;;
;;;
;;;
;;;
